"['68.12', '73.80', '응', '뭐', '며칠', '집도', '잠']",2
"['102.02', '108.79', '일', '주일', '뭐', '도', '다음', '주']",2
"['132.30', '133.42', '다', '뭐']",1
"['137.47', '139.64', '응', '뭐']",2
"['153.09', '156.17', '다음', '주부', '주부터', '터', '공부']",2
"['156.81', '160.32', '뭐', '손']",2
"['166.05', '169.50', '언니', '비디오', '거지']",2
"['171.46', '173.25', '거지']",1
"['183.77', '184.85', '상관', '뭐']",6
"['213.53', '224.33', '오', '오빠', '말', '하다', '침', '이', '만큼', '몰', '나도', '이상', '뭐']",6
"['239.55', '242.85', '운전', '야', '시간']",2
"['243.76', '245.25', '뭐']",1
[],2
"['258.73', '260.95', '뭐', '어']",2
"['279.20', '280.83', '대학원']",2
"['307.69', '311.26', '뭐', '우리', '언니', '나']",1
"['330.85', '332.85', '동지']",2
"['342.39', '348.51', '이거', '이', '이름', '대지', '말자', '언니', '내', '안', '참', '비밀']",6
"['366.54', '371.63', '나이', '차', '둘']",2
"['380.86', '385.24', '기회', '눈', '어디', '자']",1
"['430.40', '432.79', '이때', '가지']",2
"['432.69', '435.49', '이때', '이때다도', '다도', '능력']",2
"['446.85', '450.16', '나', '뭐']",2
"['458.18', '460.25', '나도']",4
"['478.82', '479.81']",2
"['480.77', '482.13', '정', '정환', '환']",2
"['498.69', '499.98', '미안', '언니']",2
"['500.58', '501.27', '미안']",2
"['524.01', '528.10', '난', '내가', '기회', '거지']",2
"['543.09', '545.56', '응', '뭐']",2
"['545.27', '546.72', '연락']",2
"['546.72', '549.03', '요즘']",2
"['557.97', '559.86', '언니']",2
"['559.94', '564.24', '응']",2
"['579.22', '582.01', '사랑과', '전쟁', '박', '박형섭', '형섭']",2
"['642.41', '646.75', '박', '박형섭', '형섭', '지', '나름', '여자', '결혼', '해', '딸']",2
"['652.14', '654.08', '거지']",1
"['706.81', '708.48', '느낌']",2
"['708.76', '710.32', '느낌', '여자', '애']",2
"['715.36', '716.42', '응', '누', '누군', '군', '지']",2
"['727.68', '729.30', '뭐']",1
"['732.93', '735.57', '나아', '덜', '뭐']",2
"['802.66', '803.71', '집']",6
"['808.70', '810.99', '교회']",2
"['813.95', '817.29']",2
"['823.05', '828.94', '응', '나도', '하면서', '주', '여태']",2
"['828.73', '830.53']",2
"['841.59', '843.00']",2
"['849.74', '855.22', '아', '아휴', '휴']",2
"['907.10', '910.00', '뭐']",2
"['924.99', '929.42', '뭐', '짐']",2
"['934.07', '936.06']",2
"['935.64', '936.70']",2
"['957.51', '960.46', '내', '방도', '마지막']",1
"['959.11', '962.08', '무엇', '코']",6
"['95.21', '96.55', '소리']",3
"['111.08', '117.72', '뭐', '상관', '사람', '말', '말던', '던', '미국', '아', '아휴', '휴']",2
"['161.20', '163.21']",5
"['163.26', '165.11', '저기', '다섯', '살이']",1
"['165.96', '168.55', '여기', '나이', '살이', '응']",1
"['173.05', '175.96', '아', '얘', '성빈', '성빈이도', '이도']",1
"['212.91', '216.76', '아', '우리', '하림', '발음', '정확', '발']",2
"['267.11', '268.42', '너', '도', '구십', '년']",1
"['280.05', '281.85', '뭐']",2
"['330.52', '335.63', '야', '한글', '뭐', '국문과']",2
"['356.62', '359.40', '학교', '동네']",4
"['384.74', '387.91', '그', '저기', '무엇']",1
"['399.43', '403.55', '그', '너', '성빈', '사람', '흥분']",2
"['403.51', '412.29', '쟤', '애', '선생', '그거', '뭐', '나', '이래']",6
"['413.42', '418.41', '나', '뭐', '저것', '남', '일', '참견']",1
"['470.12', '474.34', '식']",2
"['479.88', '484.76', '동', '이', '인제', '말', '애']",1
"['517.48', '520.02', '지가', '음료수']",1
"['627.01', '634.25', '식', '남', '저기', '자기', '우리', '애', '아줌마']",2
"['634.24', '640.98', '막', '애', '야단', '안', '우리', '동', '이', '지', '얘', '기', '거']",2
"['640.97', '645.33', '자기', '어떡', '내가']",3
"['645.65', '651.13', '나', '설명']",2
"['659.67', '662.17', '고맘때', '말썽']",6
"['716.14', '723.24', '유', '은', '미안', '일', '얘기', '건', '이상', '여자']",1
"['722.83', '728.04', '응', '동', '이', '얘기', '나', '미안']",5
"['740.67', '749.58', '하림', '걔네들', '하지', '라면', '줄', '손', '행동', '수']",2
"['752.76', '755.63', '설명', '언니', '얘기']",1
"['887.54', '890.11', '달', '한번', '하나']",1
"['890.80', '892.18', '달', '한번', '정도']",2
"['901.32', '906.72', '한', '줄', '작년', '금년', '거도', '시간']",2
"['906.90', '909.87', '여름', '끝', '물', '가을']",2
"['926.77', '931.22', '거', '한국', '사람', '데', '뭐']",2
"['936.39', '939.76']",2
"['939.78', '942.76']",3
"['954.48', '959.71']",2
"['969.48', '971.01', '응']",2
"['984.86', '986.77', '우리', '남편', '완전']",2
"['1024.09', '1029.94', '백', '불', '정도', '위', '하', '하나', '은', '이백', '불']",2
"['1035.81', '1038.52', '나', '때']",2
"['1055.65', '1061.20', '응', '여기', '조각', '옷', '가치']",2
"['1064.62', '1067.64', '하나', '백', '불']",1
"['1071.29', '1075.99', '그', '조각', '이것', '정장']",2
"['1080.91', '1085.19', '거기', '지', '우리', '시간']",2
"['1087.83', '1092.73', '우리', '거기', '은', '맘', '간', '지가', '일', '일년', '년', '반']",2
"['1093.68', '1095.39', '방학', '때', '한번', '가지']",2